timestamp,open,high,low,close
2025-07-10 00:00:00,110496.71,110743.11,110138.72,110358.45
2025-07-10 01:00:00,110124.3,110235.91,109616.92,109890.16
2025-07-10 02:00:00,111469.37,112340.92,111175.39,112236.81
2025-07-10 03:00:00,111767.33,112446.26,111630.65,112309.89
2025-07-10 04:00:00,112551.85,112738.24,110480.33,110638.57
2025-07-10 05:00:00,109625.74,110098.42,109452.47,109939.99
2025-07-10 06:00:00,111405.64,111545.57,110977.02,111179.86
2025-07-10 07:00:00,110635.48,110967.91,110501.38,110746.4
2025-07-10 08:00:00,110145.76,110382.61,109666.04,109854.07
2025-07-10 09:00:00,109840.57,109947.45,108501.0,108782.86
2025-07-10 10:00:00,109605.41,109767.75,108180.55,108384.56
2025-07-10 11:00:00,107056.38,107547.16,106801.35,107253.24
2025-07-10 12:00:00,107991.71,108280.77,107852.51,108163.07
2025-07-10 13:00:00,108047.43,108225.16,107592.05,107746.32
2025-07-10 14:00:00,107285.68,108498.99,107077.14,108342.81
2025-07-10 15:00:00,108666.89,108781.8,107984.43,108281.81
2025-07-10 16:00:00,107604.89,108317.67,107341.79,108216.56
2025-07-10 17:00:00,109247.56,110433.1,109132.75,110178.84
2025-07-10 18:00:00,109339.62,109612.24,108805.75,109030.41
2025-07-10 19:00:00,108551.24,108713.43,108200.54,108365.58
2025-07-10 20:00:00,109178.1,110811.79,108983.66,110534.34
2025-07-10 21:00:00,110895.98,111148.14,110038.6,110250.86
2025-07-10 22:00:00,110215.03,111984.22,110029.53,111779.68
2025-07-10 23:00:00,111866.72,112029.6,111366.0,111567.72
